date,counts,total_passenger,total_amount,total_tips,total_dist,avg_dist
2018-04-29,356,632,22748.94,2190.85,6773.66,18.973837535
2018-10-20,309,583,19491.11,1568.74,5717.68,18.444129032
2018-03-11,294,990,37898.22,4291.46,11300.54,19.218605442
2018-02-19,304,560,19604.01,1983.27,5567.1,18.312828947
2018-08-13,329,624,21608.53,2093.88,6003.68,18.248267477
2018-12-23,259,535,16276.21,1147.22,4775.13,18.365884615
2018-06-19,303,556,20437.87,2300.61,5562.66,18.238229508
2018-06-30,249,499,15596.12,1054.58,4656.28,18.550916335
2018-06-08,300,541,19279.91,1503.23,5491.88,18.306266667
2018-12-03,407,676,27308.96,3170.38,7393.14,18.164963145
2018-03-12,374,1292,49730.46,5323.92,13665.84,18.22112
2018-06-09,289,562,18357.42,1707.03,5647.8,19.542560554
2018-09-28,341,637,22241.53,1873.77,6365.81,18.613479532
2018-12-22,266,559,16799.17,1206.62,4914.65,18.406928839
2018-05-17,400,770,26075.48,2156.58,7437.94,18.456426799
2018-09-16,308,544,19900.64,2004.44,5672.05,18.415746753
2018-04-20,316,610,20534.95,1717.13,5849.22,18.393773585
2018-09-17,326,539,21600.73,2182.14,5941.72,18.226134969
2018-05-18,342,615,22390.35,1946.23,6321.22,18.375639535
2018-09-29,322,574,20530.99,1837.73,5952.94,18.487391304
2018-01-12,340,613,22943.47,2476.73,6240.78,18.355235294
2018-08-14,313,588,20241.48,1615.08,5722.9,18.225796178
2018-06-20,306,543,20418.27,2284.33,5579.35,18.233169935
2018-09-07,353,651,22706.19,1677.51,6510.32,18.390734463
2018-11-01,406,741,26365.21,2014.86,7469.51,18.397807882
2018-04-30,434,692,28845.72,2934.7,7902.81,18.16737931
2018-11-10,312,591,20106.46,1942,5686.5,18.225961538
2018-07-22,316,567,20209.96,1816,5828.65,18.386908517
2018-04-11,349,669,23142.5,2272.07,6388.86,18.253885714
2018-11-22,229,415,14427.81,1031.24,4327.92,18.654827586
2018-03-22,319,1160,40809.94,2836.14,11672.64,18.2385
2018-10-10,354,609,23622.44,2348.5,6499.41,18.256769663
2018-12-14,253,489,16426.81,1404.55,4683.5,18.511857708
2018-12-04,287,494,19288.43,2191.46,5251.49,18.297874564
2018-04-12,386,739,25643.38,2631.12,7112.37,18.378217054
2018-02-20,274,470,18108.65,1869.16,5016.74,18.309270073
2018-07-11,321,588,21151.16,1998.58,5860.02,18.255514019
2018-03-02,213,800,28118.36,2820.36,7684.14,18.037887324
2018-02-02,269,496,17420.73,1411.85,4941.03,18.300111111
2018-06-10,317,515,20520.76,2047.66,5994.01,18.908548896
2018-02-21,229,390,14950.84,1344.17,4184.45,18.19326087
2018-11-11,345,573,23245.39,2595.79,6361.69,18.386387283
2018-03-13,288,988,38105.88,3953.26,10441.78,18.128090278
2018-01-02,229,450,14639,1072.64,4181.89,18.261528384
